Labels,Title_Abstract
['Physics and Astronomy (all)'],"Time-periodic quantum states of weakly interacting bosons in a harmonic trap  2020 Elsevier B.V.We consider quantum bosons with contact interactions at the Lowest Landau Level (LLL) of a two-dimensional isotropic harmonic trap. At linear order in the coupling parameter g, we construct a large, explicit family of quantum states with energies of the form E0+gE1/4+O(g2), where E0 and E1 are integers. Any superposition of these states evolves periodically with a period of 8π/g until, at much longer time scales of order 1/g2, corrections to the energies of order g2 may become relevant. These quantum states provide a counterpart to the known time-periodic behaviors of the corresponding classical (mean field) theory."
"['Condensed Matter Physics', 'Surfaces and Interfaces', 'Surfaces, Coatings and Films']","Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode  2020 Elsevier B.V.Manganese dioxide has been recognized as the ideal cathode for the aqueous zinc ion batteries (ZIBs). Nevertheless, the poor conductivity and infinite relative volume changes limit its further practical applications. Herein, we developed a promising cathode design by ball milling of electrolytic manganese dioxide (MnO2) in the presence of graphite nanosheets. MnO2/graphite hybrids with the increase of contact surface and interfacial interaction are beneficial to construct an interfacial 3D conductive network and improve the inherent stability, which achieve the minimum volume change. As expected, the rate and cycling performance of MnO2/graphite hybrids (230 mAh g−1 at 0.1 A g−1, 80 mAh g−1 at 1 A g−1, 80.8% after 1000 cycles at 1 A g−1) are better than that of MnO2 (113 mAh g−1 at 0.1 A g−1, 24 mAh g−1 at 1 A g−1, 51.2% after 1000 cycles at 1.0 A g−1). The reduced volume change during charging/discharging can be observed via in situ optical observations. Furthermore, the Zn ion battery delivers higher energy density of 247 Wh kg−1 at 0.27 kW kg−1 and higher power density of 11.78 kW kg−1 at 78 Wh kg−1. Our work demonstrates the successful and large-scale conversion of industrial electrolytic manganese dioxide into a high-performance cathode of ZIBs."
"['Mechanics of Materials', 'Mechanical Engineering', 'Metals and Alloys', 'Materials Chemistry']","Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting  2020 Elsevier B.V.Rational design of photocatalyst with efficient performance in water splitting is highly desired for solar energy utilization. In this work, a simple and facile strategy was developed to synthesize Mo doped graphic carbon nitride (g-C3N4) by a two-step thermal treatment process. As obtained product exhibits sheet-like morphology with porous structure, and the formation mechanism could be ascribed to the exfoliation effect in thermal environment. Photocatalytic property investigation reveals that Mo doped g-C3N4 nanosheets present greatly improved hydrogen evolution rate of 1.6 mmol g−1 h−1 under visible light, which is about 9.4 times higher than that of pristine g-C3N4. The improved performance could be well attributed to its enhanced visible light absorption, well suppressed carrier recombination and greatly increased specific surface area. Accordingly, our work provides a promising and straight forward way to develop advanced photocatalyst with high efficiency for renewable energy generation."
"['Mechanics of Materials', 'Mechanical Engineering', 'Metals and Alloys', 'Materials Chemistry']","Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure  2020 Elsevier B.V.A quest for room-temperature superconductors is undergoing rapid innovation due to the continuing proliferation of experimental and theoretical researches on high-pressure physics. Hydrogen-caged metal compounds have been proposed to promote high critical temperature superconductivity at pressures, providing a decent opportunity to investigate related phenomena at experimentally attainable pressures. This breakthrough is attributable to the uplifting key parameters, such as electron-phonon interaction and maximum phonon frequency, once thought to be limited, by utilising high pressures. A large class of metal polyhydrides has been theoretically proposed and experimentally realised to promote near-room-temperature superconductivity under high pressures. In this work, we theoretically reported the near-room-temperature superconductivity in a symmetrically Mg/Ca substituted hexahydride, i.e. Mg0.5Ca0.5H6. We showed that this ternary Mg0.5Ca0.5H6 compound adopts an Im3¯m structure, wherein a metal atom is embedded in a H24 cage, is thermodynamically and dynamically stable at pressures ranging from 200 to 400 GPa. The analyses of the electronic band structure, Fermi surface topologies, phonon dispersion, and spectral function manifest strong support for superconductivity. We obtained λ=2.53 and ωlog=1,400K for our Mg/Ca substituted hexahydride at 200 GPa, exhibiting a near-room-temperature Tc of 288 K, which completely exceeds the calculated Tc of its parent compounds, i.e. MgH6 and CaH6."
['Hepatology'],"Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis  2020. Published by Baishideng Publishing Group Inc. All Rights Reserved.The majority of hepatocellular carcinoma (HCC) cases are associated with the hepatitis B virus (HBV) infection. Autophagy related protein 9A (ATG9A) is a transmembrane protein required for autophagosome formation. In order to investigate the role of ATG9A in HBV-associated HCC, ATG9A protein expression was determined in tumor liver tissues and compared with adjacent nontumor tissues from HCC patients with or without HBV infection. In HBVassociated HCC tissues, ATG9A protein level was increased in tumor liver tissues, but not in cases of non-HBV HCC. Our findings suggested that ATG9A might be involved in HBV and cancer cell survival. Therefore, we aimed to analyze the function of ATG9A in HBV replication using RNA interference to evaluate the HBV DNA level using real-time PCR. In the present study, there were no significant differences between shATG9A-transfected HepG2.2.15 cells and the mock control. However, we found that silencing ATG9A affected apoptosis in HepG2.2.15 and HepG2 cell lines. Our results indicated that ATG9A might be partly involved in the survival of HCC. Thus, the inhibition of ATG9A together with other targets might be a potential drug target for HCC treatment."
"['Materials Science (all)', 'Engineering (all)']",Deterioration of Open-cell Aluminum Foam in Strong Sulfuric Acid  Published under licence by IOP Publishing Ltd.Open-cell aluminium foam was fabricated by pressure infiltration and salt leaching method. The processing conditions to obtain uniform interconnected pore structure aluminium foam were melting at 650°C for 1.5 h with the applied pressure of 1.5 bar. Aluminum foams were sectioned into thin pieces to investigate for deterioration behaviour in strong sulfuric acid for 30 days. Significant weight reduction of about 50% was observed when the specimen piece was submersed in 1.0 M H2SO4 in the first three days after which the weight reduction slightly increased to 60%. Al and Cu were the two main elements that had been leached out from the surface of aluminum foam in contact with the acid resulting in the formation of sulfates.
"['Materials Science (all)', 'Engineering (all)']","Kinetic study for the co-pyrolysis of water hyacinth biomass with waste polystyrene  Published under licence by IOP Publishing Ltd.Co-pyrolysis behavior of water hyacinth (WHC) and waste PS using thermogravimetric analysis to determine kinetic parameters was investigated. TG and DTG results indicated that the pyrolysis of WHC and mixture of WHC and waste PS could be divided into three stages. It was found that co-pyrolysis of WHC and waste PS delayed the pyrolysis process with a wider decomposition temperature range, when compared with the pyrolysis of PS. The results compared with the pyrolysis of individual components revealed a positive synergistic interaction between WHC and waste PS according to the difference in weight loss. Coats-Redfern method was applied in the second stage to evaluate the activation energy (Ea) and pre-exponential factor (A) from the data of weight loss using three major reaction mechanisms. Two conversion temperature zones, zone I of 240-400 °C and zone II of 400-530 °C, were identified and a best-fit model describing the co-pyrolysis behavior of mixture was achieved. The addition of waste PS to WHC led to a slight decrease in the activation energy in the first zone and then the activation energy significantly reduced in the second zone. Chemical reaction and diffusion-controlled reaction mechanisms could be kinetically examined and enabled good explanation of the co-pyrolysis behavior of the mixture of WHC and waste PS as well as individual pyrolysis."
"['Materials Science (all)', 'Engineering (all)']","Multifunctional catalyst of Cu/ZnO and molecular sieve for low temperature CO2 conversion to methanol  2020 Institute of Physics Publishing. All rights reserved.Carbon dioxide (CO2) conversion to methanol is a promising way to mitigated CO2 emission. the Cu/ZnO catalyst applied with molecular sieves was tested on alcohol assisted methanol synthesis at 423 K and 5 MPa. The Cu/ZnO was synthesized by coprecipitation at optimal parameters (precipitation temperature = 333 K, pH = 8) in two different aging time (30min and 1h). The formation of Cu/ZnO was confirmed by XRD technique. The physiochemical properties of Cu/ZnO were analysed by SEM-EDX, N2-adsorption and desorption, and H2-TPR. the Cu/ZnO_1h with a longer aging time showed a larger specific surface area (100.58 m2/gcat) and well dispersion. The effect of molecular sieve was investigated. The molecular sieve only adsorbed the target compounds and did not involve as catalyst in the reaction. Methanol yield increased from 8.5% to 33.6% when Cu/ZnO was loaded with molecular sieve 3Å. The adsorption of water shifted the reaction equilibrium toward to more methanol yield. In contrast, when Cu/ZnO with molecular sieve 5Å was used, methanol yield decreased to 4%. It was likely that methanol product was adsorbed by molecular sieve 5Å and was separated from ethyl acetate which is a by-product."
"['Materials Science (all)', 'Engineering (all)']","Performance and cost analysis of hydrogen production from steam reforming and dehydrogenation of ethanol  2020 Institute of Physics Publishing. All rights reserved.Mitigation of carbon dioxide (CO2) emission has been a worldwide concern. Decreasing CO2 emission by converting it into higher value products such as methanol can be a promising way. However, hydrogen (H2) cost and availability are one of key barriers to CO2 conversion. Ethanol can be a sustainable source for H2 due to its renewable nature and easy conversion to H2-rich gas mixtures through ethanol steam reforming process. Nevertheless, steam reforming of ethanol generates CO2. Hence, this research is focused on different methods of H2 productions about a 1,665.47 t/y from ethanol for supplying to methanol plants was performed using Aspen PLUS V10. The ethanol steam reforming process required the lowest required ethanol feed for a certain amount of H2. In contrast, the ethanol steam reforming process presented significant amount of CO2 emission from reaction and electricity consumption. But the ethanol dehydrogenation of ethanol not only generates H2 without CO2 emission from the reaction but also ethyl acetate or acetaldehyde, which are value chemicals. However, ethanol dehydrogenation processes in case II and III presented relatively higher cost because by-products (ethyl acetate or acetaldehyde) were rather difficult to be separated."
['Hematology'],"Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin  2020 by The American Society of HematologySteroid-refractory (SR) acute graft-versus-host disease (GVHD) remains a major cause of nonrelapse mortality (NRM) after allogeneic hematopoietic cell transplantation (HCT), but its occurrence is not accurately predicted by pre-HCT clinical risk factors. The Mount Sinai Acute GVHD International Consortium (MAGIC) algorithm probability (MAP) identifies patients who are at high risk for developing SR GVHD as early as 7 days after HCT based on the extent of intestinal crypt damage as measured by the concentrations of 2 serum biomarkers, suppressor of tumorigenesis 2 and regenerating islet-derived 3a. We conducted a multicenter proof-of-concept “preemptive” treatment trial of a-1-antitrypsin (AAT), a serine protease inhibitor with demonstrated activity against GVHD, in patients at high risk for developing SR GVHD. Patients were eligible if they possessed a high-risk MAP on day 7 after HCT or, if initially low risk, became high risk on repeat testing at day 14. Thirty high-risk patients were treated with twice-weekly infusions of AAT for a total of 16 doses, and their outcomes were compared with 90 high-risk near-contemporaneous MAGIC control patients. AAT treatment was well tolerated with few toxicities, but it did not lower the incidence of SR GVHD compared with controls (20% vs 14%, P 5.56). We conclude that real-time biomarker-based risk assignment is feasible early after allogeneic HCT but that this dose and schedule of AAT did not change the incidence of SR acute GVHD. This trial was registered at www.clinicaltrials.gov as #NCT03459040."
