Labels,Title_Abstract
"['Structural Biology', 'Biochemistry', 'Molecular Biology']","Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening  2023 Elsevier B.V.Pyrocatechol violet/copper ion-graphene oxide/alginate (PV/Cu2+-GO/Alg) hydrogel was fabricated and applied as a colorimetric sensor for monitoring urinary cysteine via an indicator-displacement assay (IDA) and Cu2+-cysteine affinity pair. The hydrogel-based sensor was formed by Ca2+ cations cross-linked PV/Cu2+-GO/Alg. The morphologies of hydrogel were characterized by field-emission scanning electron microscopy with energy-dispersive X-ray spectroscopy and Fourier-transform Raman spectroscopy. Incorporating GO into the hydrogel improved its uniformity of porosity, large surface area, and compressive strength, leading to amplified colorimetric signals of the hydrogel sensor. Under optimal conditions, this sensor offered a linear range of 0.0–0.5 g/L with a detection limit of 0.05 g/L for cysteine without interfering effects in urine. Furthermore, this hydrogel-based sensor was applied for urinary cysteine detection and validated with laser desorption ionization mass spectrometry. This platform could be used to determine cysteine at its cutoff (0.25 g/L) in human urine, which was distinguishable between normal and abnormal individuals, to evaluate an early stage of Alzheimer's disease. Eventually, this system was integrated with diapers for a wearable cysteine sensor."
"['Analytical Chemistry', 'Spectroscopy', 'Organic Chemistry', 'Inorganic Chemistry']","Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)2·2H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies  2023 Elsevier B.V.Herein, unusual and rare coordination behavior of triethanolamine (H3tea) ligand in copper(II) carboxylate complex; [Cu(H3tea)2](3,4-DMC)2·2H2O; DMC = 3,4-dimethoxycinnamate, has been explored and structurally reported for the first time. Synthesis and crystallization of the complex has been achieved at ambient conditions using methanol-water (4:1 v/v) as a solvent mixture after very slow evaporation. Furthermore, the complex is characterized by elemental analyses, spectroscopic methods (UV–Visible, FT-IR) and structure elucidation has been carried out by single crystal X-ray structure analyses. X-ray structure determination of the complex revealed the presence of [Cu(H3tea)2]2+ as a cation and two moieties of 3,4-dimethoxycinnamate as anions forming a second sphere coordination complex. Various weak (non-covalent) interactions such as C–H∙∙∙O, and O–H∙∙∙O impart an important role in the lattice stabilization of a second sphere coordination complex. Hirshfeld surface calculations clearly revealed the existence of interplay of non-covalent interactions in lattice stabilization. The theoretical calculation also suggested the total interaction energies in this complex, i.e. 32.6 kj.mol−1. In addition, molecular docking investigations of this complex clearly showed that there is substantial protein-ligand interaction with best binding scores of -7.2, -7.3, -7.9 kcal/mol against 4GKU, 3W4P, 5CGX and -5.8, -7.8 kcal/mol against 4HFZ, 1D5R proteins lesser than parent acid i.e. 3,4-dimethoxycinnamic acid indicating the potential of this complex; [Cu(H3tea)2](3,4-DMC)2·2H2O as antibacterial and anticancer agent respectively."
['Aquatic Science'],"Total ammonia nitrogen removal and microbial community dynamics in an outdoor HDPE-lined shrimp pond with no water discharge  2023 Elsevier B.V.This study assessed the characteristics of a zero-discharge outdoor high-density polyethylene (HDPE)-lined demonstration aquaculture pond (400 m2) in terms of water quality variables, total ammonia nitrogen (TAN) removal and oxygen net primary production (NPP) indices, and photosynthetic microbiome over a 76-day crop cycle. The shrimp harvest yield was 4.1 t/ha/crop with an average daily gain (ADG) of 0.15 g/day and a feed conversion ratio (FCR) of 1.49. During shrimp cultivation with a semi-intensive stocking density (40 shrimp/m2), there were low levels of TAN (<1.01 mg-N/L), nitrite (<0.21 mg-N/L), and nitrate (<2.79 mg-N/L). Ammonia removal was mainly mediated by photoautotrophic uptake, as evidenced by the consistent estimated TAN uptake rate of 0.05 ± 0.02 g-N/m3 h, which was calculated based on photosynthesis. The overall TAN removal rate of 0.10 ± 0.08 g-N/m3 h was maintained by suspended microorganisms in water, which exceeded that of microorganisms attached to the HDPE liner surface. A positive oxygen NPP of 0.24–1.16 g-O2/m3 h during light availability indicated prevailing autotrophic conditions. The bacterial community in the water was dominated by Phyla Pseudomonadota (Proteobacteria; 16–32%), Bacteroidota (Bacteroidetes; 15–29%), Cyanobacteria (7–35%), and Actinomycetota (Actinobacteria; 3–39%). The chloroplast amplicon sequence variants (ASVs) indicated abundances of Bacillariophyta (27–97%) and Chlorophyta (0.4–67%). High centric diatom populations (Bacillariophyta) were detected throughout cultivation, while the proportion of green algae (Chlorophyta) was positively correlated with increased TAN availability when feeding was increased. The findings enabled estimations of TAN removal and oxygen NPP rates and provided an understanding of correlations between environmental variables and bacterial and phytoplankton populations in the outdoor lined shrimp pond."
"['Environmental Engineering', 'Environmental Chemistry', 'Waste Management and Disposal', 'Pollution']","Effects of microaeration and sludge recirculation on VFA and nitrogen removal, membrane fouling reduction and microbial community of the anaerobic baffled biofilm-membrane bioreactor in treating building wastewater  2023 Elsevier B.V.A novel anaerobic baffled biofilm-membrane bioreactor (AnBB-MBR) with microaeration of 0.62 LO2/LFeed was developed to improve VFA and nitrogen removal from building wastewater. Three different membrane bioreactor systems — R1: AnBB-MBR (without microaeration); R2: AnBB-MBR with microaeration; and R3: AnBB-MBR with integrated microaeration and sludge recirculation — were operated in parallel at the same hydraulic retention time of 20 h and sludge retention time of 100 d. The microaeration promoted greater microbial richness and diversity, which could significantly enhance the removal of acetic acid and dissolved methane in the R2 and R3 systems. Moreover, the partial nitrification and the ability of anammox (Candidatus Brocadia) to thrive in R2 enabled NH4+-N removal to be enhanced by up to 57.8 %. The worst membrane fouling was found in R1 due to high amount of protein as well as fine particles (0.5–5.0 μm) acting as foulants that contributed to pore blocking. While the integration of sludge recirculation with microaeration in R3 was able to improve the membrane permeate flux slightly as compared to R2. Therefore, the AnBB-MBR integrated with a microaeration system (R2) can be considered as promising technology for building wastewater treatment when considering VFA and nutrient removal and an energy-saving approach with low aeration intensity."
"['Ecology, Evolution, Behavior and Systematics', 'Aquatic Science', 'Ecology', 'Animal Science and Zoology']","Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India  2023 Elsevier B.V.Safety of aquatic products is one of the important public health concerns globally, mainly in developing countries with culture and capture fisheries. In the present study, the bioaccumulation of heavy metals such as Cu, Zn, Cr, Pb, As and Cd in the muscle tissues of crustaceans, molluscs and finfishes collected from the Pondicherry (Puducherry) coast were determined using inductively coupled plasma mass spectrometry (ICP-MS). Among the analysed organisms, maximum concentration of Cu (26.1 ±0.83μg/g) was observed in Perna viridis, Zn (25.03 ±0.82μg/g) in Charybdis feriata, 1.33 ±0.04μg/g of Cr in Atule mate, 1.48 ±1.05μg/g of Pb in Sardinella fimbriata, 2.88±2.16μg/g of Cd in Nemipterus jopanicus and 0.72 ±0.15μg/ g of As in Decapterus russelii. Among the various marine organisms studied, the benthic species showed higher metal accumulation than the pelagic species. The heavy metal accumulation level differed significantly between the organisms. The elemental levels in analysed organisms are within the maximum acceptable levels proposed by various international standards and guidelines. Hazard index (HI) of all the analysed marine organisms showed distinctly lower values than threshold value as suggested by World Health Organization (WHO) and Food Safety and Standards Authority of India (FSSAI) for all the studied elements. Overall, the analysed marine organisms are considered safe for human consumption and export. This study provides the baseline data on heavy metal contamination in edible marine organisms from the Puducherry coast of India that will help in developing effective management plans and continuous monitoring of the coast."
"['Pharmacology', 'Drug Discovery']","A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation  2023 Elsevier B.V.Ethnopharmacological relevance: Saraca asoca (Roxb.)W.J.de Wilde, (Fabaceae) is a plant of significant medicinal value in traditional Indian medicine, with a long history of use in the treatment of gynaecological disorders and other ailments, and is held in high esteem. This plant has long existed in Indian tradition and is revered as sacred. Aim of the study: This work aimed to explore the taxonomic revision of Saraca asoca from ancient times to the present and to evaluate the ethnobotanical, phytochemical and pharmacological information associated with traditional use and develop a roadmap for conservative strategies of species. Materials and methods: The study draws on a comprehensive range of herbal, traditional, ethnobotanical, and ethnopharmacological information, including ancient Ayurvedic textbooks and various databases, using a single keyword or a combination of multiple keywords. Results: This review establishes a roadmap for understanding the traditional history of medicinal plants, particularly Saraca, and highlights the transfer of traditional knowledge from pharmacopoeias, materia medica, and classical textbooks over many centuries. The study also emphasises the importance of conservation strategies to protect Saraca as a valuable resource for healthcare and suggests that more research is needed to systematically evaluate its phytochemical, pharmacological, and clinical properties, as well as to develop safety, pharmacology, and toxicology reports for traditional formulations. Conclusions: In light of this study, S. asoca could be considered an important source of potential herbal drugs. The review concludes with a call for further research and conservation efforts to protect Saraca and other traditional medicinal plants for the benefit of current and future generations."
"['Pharmacology', 'Drug Discovery']","Potential natural antimicrobial and antibiofilm properties of Piper betle L. against Staphylococcus pseudintermedius and methicillin-resistant strains  2023 Elsevier B.V.Ethnopharmacological relevance: Piper betle L. has potent of antimicrobial activity and is widely used as a traditional remedy to treat skin infections. However, no clear evidence exists concerning antimicrobial and antibiofilm activity against Staphylococcus pseudintermedius and methicillin-resistant S. pseudintermedius (MRSP) opportunistic pathogens that cause wound infections and pyoderma in canines and zoonotic disease. Aim of the study: The antimicrobial and antibiofilm activities of P. betle extract were assessed against S. pseudintermedius and MRSP strains. Materials and methods: Ethanol leaf extract of P. betle was investigated for its antibacterial effect on S. pseudintermedius and MRSP by broth microdilution and time-kill assays. Biofilm inhibition and production assays were performed to evaluate antibiofilm and biofilm eradication effects, respectively. Biofilm-associated gene expression was further studied using real-time polymerase chain reaction (PCR). The possible interaction between IcaA and major compounds in P. betle was analyzed by molecular docking. Results: The extract showed minimum inhibitory concentration (MIC) at 250 μg/mL. Growth inhibition of P. betle at 1 MIC against the bacteria was initially observed after treatment for 4 h. All isolates were completely killed after 18 h exposure to the extract. Minimum biofilm inhibitory concentrations (MBICs) of the extract against the tested isolates ranged 1/2 MIC to 1 MIC, while minimum biofilm eradication concentration (MBEC) of P. betle was initialed at 8 MIC. Quantitative inhibition and eradication effects were observed in representative strains. The extract at 1/2 MIC and 1 MIC values inhibited biofilm formation up to 100%, with bacterial biofilm removed at up to 94.21% by 4 MIC of the extract. The extract downregulated the expression of the icaA gene among biofilm-producing isolates. The most abundant compounds, 4-allyl-1,2-diacetoxybenzene and eugenol showed a strong affinity with IcaA protein at −5.65 and −5.31 kcal/mol, respectively. Conclusions: P. betle extract demonstrated the antibacterial, antibiofilm, and biofilm-removal activity against S. pseudintermedius and MRSP. Downregulation of the icaA gene expression and protein interaction were possible modes of action of the extract that impacted biofilm production. This extract showed promise as an alternative treatment for S. pseudintermedius infection, especially drug-resistant and biofilm-associated cases."
['Multidisciplinary'],"Rice straw-derived smoke water promotes rice root growth under phosphorus deficiency by modulating oxidative stress and photosynthetic gene expression  2023, Springer Nature Limited.Plant-derived smoke has been shown to promote plant growth and seed germination, but its roles and mechanisms in response to nutrient deficiency stress remain unclear. Plants respond to phosphorus (P) deficiency by undergoing morphological, physiological, and transcriptional changes in order to improve nutrient uptake efficiency. Here, we showed that rice straw-derived smoke water could promote root growth in rice (Oryza sativa cv. Nipponbare) grown under P-sufficient and P-deficient conditions. Transcriptome analysis of the root tissues identified 1309 genes up-regulated and 1311 genes down-regulated by smoke water under P-deficient conditions. The GO terms ‘glutathione transferase activity’ and ‘photosynthesis—light reaction’ were found to be significantly enriched among the genes that were up- and down-regulated by smoke water, respectively. Biochemical analysis showed that smoke water reduced P-deficient-induced accumulation of H2O2 and malondialdehyde (MDA), a lipid peroxidation marker, reduced sucrose contents, but increased Fe accumulation. Furthermore, smoke water suppressed the expression of strigolactone biosynthesis genes, which were strongly induced by P deficiency as an adaptive strategy to improve root P uptake. These results revealed a potential mechanism by which smoke water promotes root growth and interacts with P deficiency-induced transcriptional regulation to mitigate P deficiency stress in rice."
"['Environmental Chemistry', 'Pollution', 'Pharmaceutical Science', 'Management, Monitoring, Policy and Law']","Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example  2023 Elsevier B.V.This work showcases the improvement of the United States Pharmacopeial (USP) assay of ethambutol (ETB) for tablet dissolution test through the incorporation of green chemistry and smartphone technology. In the assay, downscaled extraction was performed in microcentrifuge tubes, utilizing 0.5 mL of chloroform per sample. Instead of spectrophotometric measurements, the extracts were photographed while contained in the closed tubes using a smartphone camera, with white LED serving as the light source. The Red-Green-Blue (RGB) intensities were read out from the image using an RGB Color Detector application. It was found that B/(R + G + B) showed a good linear relationship to the drug concentration over the range of 11.9–118.5 μg/mL (R2 = 0.9992). The method was accurate (% recovery of 99.98–100.91%), precise (% relative standard deviation of 0.97–1.17%), sensitive (LOD = 3.9 μg/mL and LOQ = 11.8 μg/mL), specific and robust. Furthermore, the analysis results obtained were consistent with those obtained through the USP method. The method became greener and safer due to a 20-fold reduction in chloroform consumption and the use of a closed system for signal measurement which prevented the release of solvent vapor into the environment and minimized the analyst's exposure to chemicals. In addition, the method was green with the AGREE score of 0.74, and 9 green shaded sections in the GAPI assessment. Moreover, the data analysis tool in the mobile application developed in this work facilitated rapid and instantaneous calculations of the results. Hence, the assay is feasible for quality control analysis, and helps promote sustainability."
"['Ecology, Evolution, Behavior and Systematics', 'Agricultural and Biological Sciences (miscellaneous)']","Targeted sequencing analysis pipeline for species identification of human pathogenic fungi using long-read nanopore sequencing  2023, International Mycological Association.Among molecular-based techniques for fungal identification, Sanger sequencing of the primary universal fungal DNA barcode, the internal transcribed spacer (ITS) region (ITS1, 5.8S, ITS2), is commonly used in clinical routine laboratories due to its simplicity, universality, efficacy, and affordability for fungal species identification. However, Sanger sequencing fails to identify mixed ITS sequences in the case of mixed infections. To overcome this limitation, different high-throughput sequencing technologies have been explored. The nanopore-based technology is now one of the most promising long-read sequencing technologies on the market as it has the potential to sequence the full-length ITS region in a single read. In this study, we established a workflow for species identification using the sequences of the entire ITS region generated by nanopore sequencing of both pure yeast isolates and mocked mixed species reads generated with different scenarios. The species used in this study included Candida albicans (n = 2), Candida tropicalis (n = 1), Nakaseomyces glabratus (formerly Candida glabrata) (n = 1), Trichosporon asahii (n = 2), Pichia kudriavzevii (formerly Candida krusei) (n = 1), and Cryptococcus neoformans (n = 1). Comparing various methods to generate the consensus sequence for fungal species identification, the results from this study indicate that read clustering using a modified version of the NanoCLUST pipeline is more sensitive than Canu or VSEARCH, as it classified species accurately with a lower abundance cluster of reads (3% abundance compared to 10% with VSEARCH). The modified NanoCLUST also reduced the number of classified clusters compared to VSEARCH, making the subsequent BLAST+ analysis faster. Subsampling of the datasets, which reduces the size of the datasets by approximately tenfold, did not significantly affect the identification results in terms of the identified species name, percent identity, query coverage, percentage of reads in the classified cluster, and the number of clusters. The ability of the method to distinguish mixed species within sub-populations of large datasets has the potential to aid computer analysis by reducing the required processing power. The herein presented new sequence analysis pipeline will facilitate better interpretation of fungal sequence data for species identification."
