Labels,Title_Abstract
['Physics and Astronomy (all)'],"Democratic Lagrangians for Nonlinear Electrodynamics  2021 authors. Published by the American Physical Society.We construct a Lagrangian for general nonlinear electrodynamics that features electric and magnetic potentials on equal footing. In the language of this Lagrangian, discrete and continuous electric-magnetic duality symmetries can be straightforwardly imposed, leading to a simple formulation for theories with the SO(2) duality invariance. When specialized to the conformally invariant case, our construction provides a manifestly duality-symmetric formulation of the recently discovered ModMax theory. We briefly comment on a natural generalization of this approach to p-forms in 2p+2 dimensions."
['Engineering (all)'],"Improved Development Cycle for 8-bit FPGA-Based Soft-Macros Targeting Complex Algorithms  2021, Chulalongkorn University, Faculty of Fine and Applied Arts. All rights reserved.Developing complex algorithms on 8-bit processors without proper development tools is challenging. This paper integrates a series of novel techniques to improve the development cycle for 8-bit soft-macros such as Xilinx PicoBlaze. The improvements proposed in this paper reduce development time significantly by eliminating the required resynthesis of the whole design upon HDL source code changes. Additionally, a technique is proposed to increase the maximum supported data memory size for PicoBlaze which facilitates development of complex algorithms. Also, a general verification technique is proposed based on a series of testbenches that perform code verification using comparison method. The proposed testbench scenario integrates “Inter-Processor Communication (IPC), shared memory, and interrupt” concepts that lays out a guideline for FPGA developers to verify their own designs using the proposed method. The proposed development cycle relies on a chip that has Programmable Logic (PL) fabric (to hold the soft processor) alongside of a hardened processor (to be used as algorithm verifier), therefore, a Xilinx Zynq Ultrascale+ MPSoC is chosen which has a hardened ARM processor. The development cycle proposed in this paper targets the PicoBlaze, but it can be easily ported to other FPGA macros such as Lattice Mico8, or any non-Xilinx FPGA macros."
['Medicine (all)'],"Dolutegravir as First- or Second-Line Treatment for HIV-1 Infection in Children Copyright  2021 Massachusetts Medical Society.BACKGROUND Children with human immunodeficiency virus type 1 (HIV-1) infection have limited options for effective antiretroviral treatment (ART). METHODS We conducted an open-label, randomized, noninferiority trial comparing three-drug ART based on the HIV integrase inhibitor dolutegravir with standard care (non–dolutegravir-based ART) in children and adolescents starting first- or second-line ART. The primary end point was the proportion of participants with virologic or clinical treatment failure by 96 weeks, as estimated by the Kaplan–Meier method. Safety was assessed. RESULTS From September 2016 through June 2018, a total of 707 children and adolescents who weighed at least 14 kg were randomly assigned to receive dolutegravir-based ART (350 participants) or standard care (357). The median age was 12.2 years (range, 2.9 to 18.0), the median weight was 30.7 kg (range, 14.0 to 85.0), and 49% of the participants were girls. By design, 311 participants (44%) started first-line ART (with 92% of those in the standard-care group receiving efavirenz-based ART), and 396 (56%) started second-line ART (with 98% of those in the standard-care group receiving boosted protease inhibitor–based ART). The median followup was 142 weeks. By 96 weeks, 47 participants in the dolutegravir group and 75 in the standard-care group had treatment failure (estimated probability, 0.14 vs. 0.22; difference, –0.08; 95% confidence interval, −0.14 to −0.03; P=0.004). Treatment effects were similar with first- and second-line therapies (P=0.16 for heterogeneity). A total of 35 participants in the dolutegravir group and 40 in the standard-care group had at least one serious adverse event (P=0.53), and 73 and 86, respectively, had at least one adverse event of grade 3 or higher (P=0.24). At least one ART-modifying adverse event occurred in 5 participants in the dolutegravir group and in 17 in the standard-care group (P=0.01). CONCLUSIONS In this trial involving children and adolescents with HIV-1 infection who were starting first- or second-line treatment, dolutegravir-based ART was superior to standard care. (Funded by ViiV Healthcare; ODYSSEY ClinicalTrials.gov number, NCT02259127; EUDRACT number, 2014-002632-14; and ISRCTN number, ISRCTN91737921.)"
"['Business and International Management', 'Strategy and Management', 'Organizational Behavior and Human Resource Management']","Does proactive logistics management enhance business management?Czy proaktywne zarządzanie logistyką wzmacnia zarządzanie biznesem?  2021, Czestochowa University of Technology. All rights reserved.This study aims to investigate the logistics awareness, logistics strategies, and logistics management on the business management and firm size moderating role among the relationships of logistics awareness, logistics strategies, logistics management, and business management of the logistic industry in Thailand. Thailand's logistics performance significantly improved in 2018, owing to the massive investment in transport infrastructure and relevant legal reforms. Current study investigates how the efficient logistics management will lead to efficient business management. Survey method was adopted to collect the data using questionnaire. The respondents were the employees of logistic companies in Thailand and were selected using simple random sampling. Smart-PLS was used to analyze data. The outcomes have indicated that logistics awareness, logistics strategies, and logistics management have a positive association with the business management of the logistics industry in Thailand. The findings also exposed that the firm size significantly moderates among the associations of logistics awareness, logistics strategies, logistics management, and business management of the logistic industry in Thailand. These outcomes provide the guidelines for new researchers while investigating this area in the future and also provide the guidelines for the policymakers while making policies regarding effective business management of logistic organizations."
"['Business, Management and Accounting (all)', 'Development', 'Economics, Econometrics and Finance (all)']","Hedging stocks in crises and market downturns with gold and bonds: Industry analysis  2021 AESS Publications.This paper analyzes the dynamic return relationships between stocks and other asset classes, namely gold, government bonds and corporate bonds, to investigate whether these asset classes can serve as a hedge and a safe haven for stocks during crises and stock market downturns in Thailand. The result suggests that gold generally provides a hedge for the stock market and industry indexes, and that it also works as a safe haven for stocks in some crises. However, bonds tend to offer less hedging effect. In fact, the correlations between bonds and stocks even increase in some crises, contradicting a common belief that bonds are a safe haven for stocks. A possible explanation for this striking finding is that since stocks and bonds share similar sources of companies' cash flows, bonds are viewed as risky as stocks in times of extreme market volatilities and hence market players treat them as one and the same. Finally, these hedging and safe haven effects are observed in some, but not all, industries and they do not behave consistently in every crisis."
"['Chemistry (all)', 'Chemical Engineering (all)']","One-Step Hydrothermal Synthesis of Precious Metal-Doped Titanium Dioxide–Graphene Oxide Composites for Photocatalytic Conversion of CO2 to Ethanol  2021 The Authors. Published by American Chemical Society.We utilized a one-step hydrothermal process for the synthesis of precious metal-doped titanium dioxide (TiO2)/graphene oxide (GO) composites. The metal-doped TiO2/GO composites, including silver–TiO2/GO (Ag–TiO2/GO), palladium–TiO2/GO (Pd–TiO2/GO), and copper–TiO2/GO (Cu–TiO2/GO), were synthesized by mixing a metal precursor, titanium butoxide, and graphene oxide in a water–ethanol mixture in an autoclave hydrothermal reactor. The photocatalytic performance of the composites was tested in the photoreduction of carbon dioxide (CO2) to ethanol. Ag–TiO2/GO, Pd–TiO2/GO, and Cu–TiO2/GO exhibited an ethanol production rate of 109, 125, and 233 μmol/gcat h, respectively. The outstanding performances of Cu–TiO2/GO can be attributed to a combined effect of key parameters, including optical band gap, crystallite size, and BET surface area."
"['Physics and Astronomy (all)', 'Physical and Theoretical Chemistry']","Impact of the polar optical phonon and alloy scattering on the charge-carrier mobilities of FA0.83Cs0.17Pb(I1−xBrx)3hybrid perovskites  the Owner Societies 2021.Lead mixed-halide perovskites are promising absorption materials that are suitable for applications in tandem solar cells using existing silicon technology. Charge-carrier mobility is an important factor that affects the performance of tandem solar cells. However, a detailed understanding of the fundamental mechanisms of lead mixed-halide perovskites remains elusive. Here, we used LO (longitudinal optical) phonons and alloy scattering to the elucidate charge-carrier mobilities in the FA0.83Cs0.17Pb(I1−xBrx)3hybrid perovskite system. It was found that these scattering mechanisms provided very good quantitative agreement with the experimental results, between 11-40 cm2V−1s−1. Our findings provide new insights into charge transport scattering in lead mixed-halide hybrid perovskites and pave the way toward design of novel semiconductor alloys for solar cell applications."
['Physics and Astronomy (all)'],"Search for Long-Lived Particles Decaying in the CMS End Cap Muon Detectors in Proton-Proton Collisions at s =13 TeV  2021 CERN. A search for long-lived particles (LLPs) produced in decays of standard model (SM) Higgs bosons is presented. The data sample consists of 137 fb-1 of proton-proton collisions at s=13 TeV, recorded at the LHC in 2016-2018. A novel technique is employed to reconstruct decays of LLPs in the end cap muon detectors. The search is sensitive to a broad range of LLP decay modes and to masses as low as a few GeV. No excess of events above the SM background is observed. The most stringent limits to date on the branching fraction of the Higgs boson to LLPs subsequently decaying to quarks and τ+τ- are found for proper decay lengths greater than 6, 20, and 40 m, for LLP masses of 7, 15, and 40 GeV, respectively."
"['Neuroscience (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Agricultural and Biological Sciences (all)']","Bacterial diversity and potential risk factors associated with Salmonella contamination of seafood products sold in retail markets in Bangkok, Thailand  2021 Atwill and Jeamsripong.Consumption of contaminated food causes 600 million cases, including 420,000 of fatal infections every year. Estimated cost from food-borne illnesses is USD 110 billion per year, which is an economic burden to low- and middle-income countries. Thailand is a leading producer and consumer of seafood, but little is known about bacterial contamination in seafood. In particular, public health agencies need to know the relationship between Salmonella contamination in seafood and risk factors, as assessed with readily available culture-dependent and bacterial phenotyping methods. To address this, levels of indicator bacteria, Salmonella and Vibrio in various seafood products were determined to identify risk factors associated with Salmonella contamination. A total of 335 samples were collected from October 2018 to July 2019 at seafood markets throughout Bangkok, Thailand; overall sample composition was Pacific white shrimp (n = 85), oysters (n = 82), blood cockles (n = 84), and Asian seabass (n = 84). Prevalence was 100% for fecal coliforms and 85% for E. coli. In contrast, prevalence was 59% for V. parahaemolyticus, 49% for V. cholerae, 19% for V. alginolyticus, 18% for V. vulnificus, and 36% for Salmonella. Highest concentrations of fecal coliforms and E. coli were in oysters. Highest concentrations of Salmonella with Matopeni (31%) being the predominant serotype were in shrimp. Salmonella contamination was significantly associated with type of seafood, sampling location, retail conditions, and the presence of E. coli, V. alginolyticus and V. vulnificus. A cutoff value for E. coli concentration of 1.3 × 104 MPN/g predicted contamination of Salmonella, with a sensitivity of 84% and specificity of 61%. Displaying seafood products on ice, presence of E. coli and Vibrio, and seafood derived from Eastern Thailand were associated with an increased risk of Salmonella contamination."
"['Immunology and Allergy', 'Immunology']","Global Perspectives on Immunization Against SARS-CoV-2 During Pregnancy and Priorities for Future Research: An International Consensus Paper From the World Association of Infectious Diseases and Immunological Disorders Copyright  2021 Abu-Raya, Madhi, Omer, Amirthalingam, Giles, Flanagan, Zimmermann, O’Ryan, Safadi, Papaevangelou, Maertens, Wanlapakorn, Diaz-Brito, Tommelein and Esposito.Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection in pregnancy is associated with a higher risk for severe morbidity and mortality when compared with infection in non-pregnant women of childbearing age. An increasing number of countries recommend immunization against SARS-CoV-2 in pregnant women. Recent studies provide preliminary and supportive evidence on safety, immunogenicity and effectiveness of coronavirus disease 2019 (COVID-19) vaccines in pregnant women; however, important knowledge gaps remain which warrant further studies. This collaborative consensus paper provides a review of the current literature on COVID-19 vaccines in pregnant women, identifies knowledge gaps and outlines priorities for future research to optimize protection against SARS-CoV-2 in the pregnant women and their infants."
